model,prompt,n_pairs,adoption_rate,moved_closer_rate,mean_anchor_pull,median_anchor_pull,mean_signed_movement
gemma3-27b-it,standard,17730,0.047320924985899605,0.1622673434856176,2.5996051889452905,0.0,2.6641285956006766
gemma4-31b-it,standard,17699,0.02130063845414995,0.08090852590541839,1.4296852929544042,0.0,1.5007062545906549
gemma4-e4b,standard,17730,0.05916525662718556,0.24743372814438805,5.214213197969543,0.0,5.569373942470389
llava-next-interleaved-7b,standard,17683,0.04727704575015552,0.16281174008935134,0.3222869422609286,0.0,0.4331844144093197
qwen2.5-vl-7b-instruct,standard,15,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
qwen3-vl-30b-it,standard,17722,0.034476921340706464,0.16318699921002144,-0.4961065342512132,0.0,0.28196591806793814
qwen3-vl-8b-instruct,standard,17730,0.029385222786238015,0.09960518894529047,0.21043429216018048,0.0,1.0191765369430343
gemma3-27b-it,strengthen,17730,0.21489001692047377,0.3155668358714044,-82.1980823463057,0.0,49.25104342921602
gemma4-31b-it,strengthen,17720,0.03448081264108352,0.1373589164785553,2024.7213318284425,0.0,2024.7896162528216
gemma4-e4b,strengthen,17729,0.05956342715325173,0.2397766371481753,1.1312538778272887,0.0,1.3470020869761408
llava-next-interleaved-7b,strengthen,17131,0.04016111143540949,0.1426069698207927,-1.8003035432841048,0.0,-1.716070281945012
qwen2.5-vl-7b-instruct,strengthen,17730,0.028764805414551606,0.13857868020304567,1011.2693739424703,0.0,1011.3385222786238
qwen3-vl-30b-it,strengthen,17730,0.03446136491821771,0.12594472645234067,-506.2398195149464,0.0,-505.19430344049636
qwen3-vl-8b-instruct,strengthen,17729,0.04777483219583733,0.1602459247560494,0.35315020587737606,0.0,1.1900276383326753
