model,anchor_distance_bin,count,moved_closer_to_anchor_rate,mean_anchor_pull,median_anchor_pull,trimmed_mean_anchor_pull,changed_toward_anchor_rate_given_change
gemma3-27b-it,"[0,5)",13417,0.15681597972721176,3.3814563613326376,0.0,0.07107591988821611,0.720224348399868
gemma3-27b-it,"[5,10)",4313,0.17922559703222815,0.16740088105726872,0.0,0.09910170964937699,0.7740336967294351
gemma4-31b-it,"[0,5)",13392,0.07586618876941457,1.1990740740740742,0.0,0.0,0.557632398753894
gemma4-31b-it,"[5,10)",4307,0.0965869514743441,2.1467378685860226,0.0,0.0,0.6149425287356322
gemma4-e4b,"[0,5)",13417,0.23507490497130507,5.318551091898338,0.0,0.05505356311131812,0.6066406911739793
gemma4-e4b,"[5,10)",4313,0.2858798979828426,4.889635984233712,0.0,0.2480440452042886,0.6780565936999466
llava-next-interleaved-7b,"[0,5)",13382,0.14489612912868033,0.17284411896577492,0.0,0.0561367457500467,0.6357575757575757
llava-next-interleaved-7b,"[5,10)",4301,0.2185538246919321,0.787258777028598,0.0,0.16012786980528915,0.8673376029277219
qwen2.5-vl-7b-instruct,"[0,5)",1,0.0,0.0,0.0,0.0,
qwen2.5-vl-7b-instruct,"[20,50)",1,0.0,0.0,0.0,0.0,
qwen2.5-vl-7b-instruct,"[50,+)",13,0.38461538461538464,0.38461538461538464,0.0,0.36363636363636365,1.0
qwen3-vl-30b-it,"[0,5)",13412,0.1419624217118998,-0.6096779003877125,0.0,0.03960857409133271,0.5801328328039272
qwen3-vl-30b-it,"[5,10)",4310,0.22923433874709978,-0.14269141531322505,0.0,0.16154292343387472,0.8368376787216149
qwen3-vl-8b-instruct,"[0,5)",13417,0.09122754714168592,-0.024148468361034507,0.0,0.0,0.6183460076045627
qwen3-vl-8b-instruct,"[5,10)",4313,0.12566658938094133,0.9401808485972641,0.0,0.032164589973920604,0.8253012048192772
