cond_class,stratum,base_correct,n,n_pb_ne_anchor,n_numeric_anchor,adopt_M2,direction_follow_M2,exact_match,model,run,exp_dir
a,S1,False,11209.0,9772.0,11195.0,0.050347932869422844,0.1272889682894149,0.12498884824694442,llava-next-interleaved-7b,20260427-171240,experiment_e5e_tallyqa_full
a,S1,True,27036.0,23330.0,27036.0,0.01641663094727818,0.04009468856339695,0.9358632933865957,llava-next-interleaved-7b,20260427-171240,experiment_e5e_tallyqa_full
d,S0,False,11209.0,11209.0,0.0,0.0,0.0,0.1387278080114194,llava-next-interleaved-7b,20260427-171240,experiment_e5e_tallyqa_full
d,S0,True,27036.0,27036.0,0.0,0.0,0.0,0.898986536469892,llava-next-interleaved-7b,20260427-171240,experiment_e5e_tallyqa_full
m,S1,False,11209.0,9772.0,11194.0,0.028550961932050756,0.10934429158477756,0.11749487019359443,llava-next-interleaved-7b,20260427-171240,experiment_e5e_tallyqa_full
m,S1,True,27036.0,23330.0,27036.0,0.008572653236176597,0.03447255511170291,0.9427430093209055,llava-next-interleaved-7b,20260427-171240,experiment_e5e_tallyqa_full
a,S1,False,7541.0,6591.0,7541.0,0.030040964952207556,0.08486938071873756,0.10979976130486672,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_tallyqa_full
a,S1,True,30704.0,26513.0,30704.0,0.005657601931128126,0.01530745179781136,0.9585396039603961,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_tallyqa_full
d,S0,False,7541.0,7541.0,0.0,0.0,0.0,0.12637581222649516,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_tallyqa_full
d,S0,True,30704.0,30704.0,0.0,0.0,0.0,0.9217691505992704,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_tallyqa_full
m,S1,False,7541.0,6591.0,7541.0,0.03262023972083144,0.08911284975467444,0.1164301816735181,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_tallyqa_full
m,S1,True,30704.0,26513.0,30704.0,0.005242711122845397,0.015340020844189683,0.9593212610734758,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_tallyqa_full
